,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,22,0,4/5/2020
1,Allegheny,605,4,4/5/2020
2,Armstrong,12,0,4/5/2020
3,Beaver,84,6,4/5/2020
4,Bedford,4,0,4/5/2020
5,Berks,276,3,4/5/2020
6,Blair,5,0,4/5/2020
7,Bradford,10,0,4/5/2020
8,Bucks,555,13,4/5/2020
9,Butler,87,2,4/5/2020
10,Cambria,7,0,4/5/2020
11,Cameron,1,0,4/5/2020
12,Carbon,50,1,4/5/2020
13,Centre,43,0,4/5/2020
14,Chester,269,2,4/5/2020
15,Clarion,5,0,4/5/2020
16,Clearfield,7,0,4/5/2020
17,Clinton,1,0,4/5/2020
18,Columbia,22,0,4/5/2020
19,Crawford,7,0,4/5/2020
20,Cumberland,58,2,4/5/2020
21,Dauphin,118,1,4/5/2020
22,Delaware,708,14,4/5/2020
23,Elk,0,0,4/5/2020
24,Erie,19,0,4/5/2020
25,Fayette,27,1,4/5/2020
26,Forest,3,0,4/5/2020
27,Franklin,30,0,4/5/2020
28,Fulton,1,0,4/5/2020
29,Greene,12,0,4/5/2020
30,Huntingdon,4,0,4/5/2020
31,Indiana,13,0,4/5/2020
32,Jefferson,0,0,4/5/2020
33,Juniata,7,0,4/5/2020
34,Lackawanna,172,6,4/5/2020
35,Lancaster,371,8,4/5/2020
36,Lawrence,23,2,4/5/2020
37,Lebanon,106,0,4/5/2020
38,Lehigh,877,8,4/5/2020
39,Luzerne,741,5,4/5/2020
40,Lycoming,9,0,4/5/2020
41,McKean,1,0,4/5/2020
42,Mercer,18,0,4/5/2020
43,Mifflin,9,0,4/5/2020
44,Monroe,528,11,4/5/2020
45,Montgomery,1111,18,4/5/2020
46,Montour,37,0,4/5/2020
47,Northampton,636,11,4/5/2020
48,Northumberland,14,0,4/5/2020
49,Perry,5,1,4/5/2020
50,Philadelphia,3135,28,4/5/2020
51,Pike,114,1,4/5/2020
52,Potter,3,0,4/5/2020
53,Schuylkill,90,0,4/5/2020
54,Snyder,8,1,4/5/2020
55,Somerset,4,0,4/5/2020
56,Sullivan,1,0,4/5/2020
57,Susquehanna,6,0,4/5/2020
58,Tioga,3,0,4/5/2020
59,Union,6,0,4/5/2020
60,Venango,3,0,4/5/2020
61,Warren,1,0,4/5/2020
62,Washington,50,0,4/5/2020
63,Wayne,33,0,4/5/2020
64,Westmoreland,147,0,4/5/2020
65,Wyoming,5,0,4/5/2020
66,York,171,1,4/5/2020
